FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A-,,B+,,,,A,,,,A-,,,,,,B+,A,A,A,B+,A-,,,B+,,,,B,,,,,A,,,A-,,,A
B+,,A,,,,A-,,,,B,,,,B+,A-,A-,B,,B+,C+,C,,,B,,,,C+,,,,,B+,,,C-,,,B-
V,,,A,,,,A,,,A,,,A,,A,A,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
B,,B,,,,A,,,,B,,,B,,B-,A-,B,,A,V,B,,,V,,,,,A,,,,B+,,,A,,,A
A,,A-,,,,A,,,,B+,,A,,,A,A,A,A,A,V,,,,A,,,,B+,,,,,A,,,A,,,A-
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
A-,,A-,,,,A,,,,A,,A,,,A,A,A,,A-,B-,B+,,,B,,,,,,,A,,B-,,,B,,,B
B-,,A-,,,,A,,,,B-,,,,B-,C,C+,B,,C,C+,D+,,,D+,,,,,,,C+,D,C+,,,C-,,,B-
,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,
B+,,B+,,,,B+,,,,B+,,A-,,,A-,B,B,B,B-,B,B,,,B+,,,,A-,,,,,,,,,,,B
C,,W,,D,,,,,C+,W,,C,,,B-,D,C+,C+,C,W;C+,C,,A-,D+,,,,,,,F,F,C-,,,C,,,W;B+
A,,A,,,,A,,,,A,,A,,,,A,A,A,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
B-,,B+,,,,A,,,,C,,A,,,,,B+,,F,D+,RF,B-,,D+,,,,,,,,,,,,,,,B
A,,A,,,,A,,,,A,,A,,,A,A,A-,A,A-,A,A,,,A,,,,A,,,,,A,,,A,,,A
V,,V,,,,,,A-,,B-,,,C,,B,A-,B-,,B-,B-,D+,,,D+,,,,,,,C-,,C,,,C-,,,B
A,,A,,,,A,,,,A,,,,A,A-,A,A,,A,A,B,,,A,,,,,,,A,B,A,,,A,,,A
B,,B,,,,A,,,,A,,A,,,B+,A,A,,A,A,A,,,B,,,,A,,,,,V,,,V,,,A
V,,A,,,,A,,,,A,,A,,,A,B+,A,,A,V,,,,V,,,,V,,,,,V,,,V,,,A
B,,A,,,,B,,,,B,,,B-,,B,B,B,,B,D,D,,B,C,,,,,,,C,,C-,,,C-,,,C
V,,A-,,,,A-,,,,A,,A-,,,A-,A,A,B+,B,B+,B+,,,B-,,,,,,,A,,A,,,A-,,,A
V,,B,,,,C,,,,C,,,,A,B-,A-,A,,B,B,B,,,B,,,,,,,C+,,RF,B-,,A,,,B
A-,,V,,,,,,A-,,A,,A,,,,A,A,A,A,A,A-,,,B,,,,A,,,,,A,,,A-,,,A
B,,V,,,,,,A,,A,,A,,,A-,A-,A,,B,V,,,,V,,,,,B,,,,,B,,,B-,,B
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,,A-,,,A,,,A
A-,,A-,,,,A,,,,B,,A,,,B-,B+,A,A,A-,A,A,,,A,,,,A,,,,,,,,,,,B
B,,A-,,,,A-,,,,A-,,A,,,A,B+,A,A,A-,B,A,,,A-,,,,,,,B+,,B+,,,B+,,,B+
,,W,,,,,,,,W,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,W
V,,A-,,,,D,,,,A,,,,A-,B+,A-,A-,B,B-,C+,D,,,C,,,,,,,A,C+,A-,,,B,,,A-
C-,,,,B,,,,,B+,C-,,,,B+,,B,C+,,D+,RF;C,C+,,C-,C-,,,,,,,D,,D,,,RF,,C+,C
C,,A,,,,B,,,,C,,B+,,,B-,B+,A,,B,D,D,,,D,,,,C;RD,,,,,D,,,D+,,,C
V,,A-,,,,B+,,,,A-,,A-,,,V,,A,,A-,V,,,,V,,,,,B,,,,V,,,C+,,,B
A,,A,,,,A,,,,A,,,B+,,A,A,A,,A,A,A,,,A,,,,A,,,,,A-,,,B-,,,A
B,,B+,,,,B+,,,,B,,,,,,,A,,B-,C,C-,,,B,,,,,,,,,,,,,,,B
B,,A,,,,,A-,,,B+,,B+,,,B+,A-,A,,A,A-,A-,,,A-,,,,A,,,,,A,,,A-,,,B
B+,,A,,,,A,,,,A-,,,,,,,A,,A-,C,C,,,C,,,,C-,,,,,,,,,,,B+
B-,,A-,,,,B,,,,B+,,,,B,B+,A-,B-,,B+,B+,B,,,B,,,,,,,A,B,A-,,,B+,,,B+
A,,A,,,,A,,,,A,,,B,,B,A,A,,A,A,A,,,C,,,,B,,,,,A,,,A-,,,B
A,,A,,,,A,,,,A,,,,,,,A,,A-,C+,C,,,B-,,,,,,,,,,,,,,,B+
B,,B+,,,,C,,,,A,,C+,,,B-,B,B,,C+,D+,D,,,D,,,,RF;D,,,,,RF,,C-,C+,,,B
A-,,A,,,,A,,,,B,,,,,,,A-,,A,A,A,,,V,,,,,B-,,,,,,,,,,A
C+,,B+,,,,B,,,,B,,A,,,B,B+,B+,B,B-,B-,C,,,B,,,,,,,A,B-,B-,,,B-,,,B
A,,A,,,,A,,,,A,,,,,,,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
V,,V,,,,,,,,A,,,A,,A,,A,,A,V,,,,V,,,,,A,,,,,A,,,,,A
A,,V,,,,,,B+,,A,,A,,,,A,B+,A,B,B+,B,,,A-,,,,B,,,,,,B,,B+,,,A
C+,,,B,,,,C+,,,C+,,,,B-,C,B,B-,B-,C+,D,D+,,,C,,,,,,,A-,,D+,,,B,,,C
B-,,,,A-,,,,,,B-,,,,,,,C,,D,D,D,,,F,,,,,,,,,,,,,,,C
C,,B,,,,A,,,,B,,,B-,,B,B+,A,,A,C,C,,B,B,,,,,,,C,,D+,,,C,,,B
C,,B+,,,,A,,,,A,,,,B+,B,B+,B+,B-,C+,C,C,,,V,,,,,B-,,,,C,,,B-,,,C+
B-,,B,,,,B+,,,,B-,,,,,,,A,,B-,RF;C,C,,,C-,,,,,,,,,,,,,,,C-
V,,,B+,,,,B+,,,B+,,A,,,A,A,A-,A-,B,C,C+,,,C+,,,,C+,,,,,B,,,A-,,,C+
A-;W,,,A-,,,A,,,,B+,,A-,,,A,A,A-;W,A-,B;W,B;W,B-,,,B-,,,,,,,A,,A,,,A-,,,B+
B+,,A,,,,B+,,,,B,,A,,,,A-,A-,A-,A-,B-,C,,,B-,,,,B,,,,,A-,,,A,,,B+
A-,,A,,,,B,,,,B+,,,,,,,B+,,A-,A-,B-,,,B,,,,,,,,,,,,,,,A
V,,A,,,,C,,,,A,,A,,,,,A-,,B-,C,C-,,,C+,,,,C,,,,,,,,,,,B-
B,,A,,,,A,,,,A,,A-,,,B+,A,A,,A,A,A,,,B,,,,B,,,,,A-,,,B,,,B
B-,,A-,,,,A-,,,,C-,,B,,,,B-,A-,A-,B-,C-,C-,,,D+,,,,,,,B-,D+,D+,,,C,,,B
A-,,A,,,,A,,,,A-,,A,,,A,B,B+,A,B,A,A-,,,B,,,,B+,,,,A,A,,,A-,,,A
V,,A,,,,B+,,,,B,,A-,,,A,A,A-,,A,A,B+,,,A-,,,,A-,,,,,A,,,A,,,A
A-,,B+,,,,B+,,,,C+,,,,B+,A,A,B-,B+,B,B-,B,,,A,,,,,,,A,B+,A,,,B+,,,C+
A-,,A-,,,,B+,,,,A-,,,B,,A,A,B+,C,C+,D,D,,C+,B-,,,,,,,C,,C-,,,C,,,B-
B,,B+,,,,A,,,,D,,,B+,,A-,B-,B,C+,C-,C,D,,,C-,,,,,,,C,,C,,,D+,,,C-
A,,V,,,,,,A,,A,,,,A-,A,,A,,B,B+,B+,,,C,,,,C-,,,,,B+,,,,,,A
A-,,A-,,,,A,,,,A-,,A,,,A-,A,A,,A-,A-,B+,,,A-,,,,B+,,,,,A,,,A,,,A-
B+,,B+,,,,B-,,,,B+,,,,C+,B,A-,A-,B,B,C+,C-,,,B,,,,,,,A,,B+,,,C+,,,A-
B,,B+,,,,B-,,,,B-,,,,B+,B-,B,C+,,C,C-,C,,,C+,,,,,,,B,D,C-,,,C+,,,C
A,,A,,,,A,,,,A,,A,,,A,A,A,,B,V,,,,A,,,,A,,,,,,A,,,A,,B
B,,B+,,,,A,,,,C+,,,A-,,B,B+,B,,B,B,C-,,,C+,,,,,,,B-,,C+,,,B-,,,C
B+,,A,,,,A,,,,A,,B+,,,A,A,A,,A-,B,C,,,B-,,,,,,,C,B-,B+,,,C+,,,B+
B,,B+,,,,A-,,,,B-,,A-,,,,A-,B-,C+,C+,C+,C-,,,C+,,,,,,,B,,C-,,,D+,,,C+
C+,,B,,,,B,,,,B,,A,,,A,B+,B+,,C,C-,D,,,C+,,,,,,,C,,D,,,B-,,,B+
A,,V,,,,,,A,,A,,,A,,A,A,A,,A,B,B,,,V,,,,,B,,,,A-,,,A,,,B
C,,RF,,A,,,,,C,D,,,C,,,D+,RF;B,,B,B,C,,,C,,,,D,,,,,C,,,D,,,D
C,,C,,,,B,,,,B,,C,,,B-,B,B,,C,B,C,,,C,,,,D,,,,,B-,,,B-,,,C
B,,A-,,,,A,,,,A,,A,,,,A,A,A-,B+,B-,C+,,,B+,,,,,,,A-,C,B-,,,B-,,,B+
C,,,,A-,,,,,A,B,,A-,,,B+,B-,A-,C,C,C+,D+,,,C,,,,D+,,,,,C+,,,D+,,,C+
C+,,A-,,,,B,,,,C-,,,,C+,,B-,B,B-,C,D,C-,,B+,B,,,,C,,,,,C+,,,C,,,B-
A-,,A,,,,A,,,,B,,,,,,,A,,C,D,D+,,,C,,,,,,,,,,,,,,,B-
B,,A,,,,A-,,,,A-,,B,,,A-,B+,A,B+,B,C+,C-,,,C-,,,,D,,,,,C,,,C+,,,C+
A-,,A,,,,C,,,,A-,,,B,,B+,C,A,,A,B,C+,,,B,,,,B,,,,,,,,,,,A-
B+,,,A-,,,,A-,,,A,,B+,,,,A-,B+,A-,C,A,C+,,,C,,,,RF;C+,,,,,B-,,,C,,,A
A,,B,,,,A,,,,A,,A,,,A,A-,A,,A,V,,,,A,,,,,,,A,B,B+,,,A-,,,A
B,,,,B-,,,,,B+,B+,,,C+,,,B,B,A-,C,C,C-,,,B,,,,,,,A,,B+,,,B-,,,A-
A,,A,,,,A,,,,A,,A,,,,A-,A,B,B-,C,C,,,C,,,,,,,C,C-,C-,,,C,,,B
B-,,B-,,,,B-,,,,C,,A,,,B+,B,A,,C+,RF;C-,D,,RF;B-,D,,,,,,,D+,,C-,,,RF,,D,D+
B,,A-,,,,A-,,,,B+,,A-,,,B+,A,A,,A,V,,,,A-,,,,,,,A,B,,A-,,B,,,B-
A,,A,,,,B,,,,A,,,,B+,B,A,A,,B,C,C,,,C,,,,,,,A-,,B,,,B-,,,B
A-,,A-,,,,B+,,,,A,,,,,,A,A,B+,A,B,B+,,,A,,,,B+,,,,,A,,,B,,,A-
A-,,A-,,,,A,,,,A-,,A-,,,A,A,B+,,A,A-,A-,,,A,,,,,,,A,B-,B+,,,A,,,A
B,,,,A,,,,,A,B,,,B-,,B+,A,A,,C,D,C,,,C,,,,,,,C+,,C,,,C-,,,C
A-,,A-,,,,B+,,,,B+,,,,,,,A,,A-,B,B-,,,B+,,,,A-,,,,,,,,,,,A
B+,,A-,,,,B+,,,,B+,,A-,,,A,A,B+,A-,C,B-,C,,,C-,,,,B-,,,,,B-,,,B-,,,C
A,,,,A,,,,,A,A,,,B,,A-,A-,A,,A,V,A,,,A,,,,A-,,,,,A,,,B+,,,B
B,,A,,,,A,,,,A,,,,B+,B,A-,A,,B,D,C,,,B,,,,,,,A-,,C,,,C+,,,B
B,,C,,,,B,,,,C,,B,,,B-,A,A,,B,B,C,,,C,,,,,,,C,,B,,,D+,,,B
V,,V,,,,,,A-,,A,,,,A,A,A,A,,A,V,,,,A,,,,A,,,,,A,,,A,,,A
,,V,,,,,,B+,,B+,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,C
V,,A,,,,A,,,,A,,,,A-,B+,A,A,,A,A,A,,,V,,,,,A,,,,,,,,,,A
A,,,A-,,,,A,,,A,,,,A-,A,A,A,A,A-,B+,A,,,A,,,,A-,,,,,A,,,A,,,A
A,,A,,,,A,,,,B+,,,,,,,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
B,,,,C,,,,,B,B,,,C+,,B+,A-,B,,B,B,C,,,C,,,,,,,C+,C,B-,,,C,,,B
V,,A,,,,A,,,,A-,,A,,,A-,,A,,B-,B+,C+,,,V,,,,,B,,,,,B+,,,,,A
V,,V,,,,,,A-,,A,,,,A,A,A,A-,A,B+,V,,,,RF;A-,,,,,,,A,,,A,,B-,,,B
B,,,,A,,,,,,C+,,,,,,,B,A-,C+,B-,C,,,B-,,,,,,,,,,,,,,,C+
C-,,B,,,,B-,,,,D,,B+,,,,B-,B+,C,C+,D,RF,D+,,RF;D,,,,,,,C-,D+,C+,,,B-,,,C-
A,,,B+,,,,A,,,A-,,A,,,A-,A-,A-,A-,B-,B-,B-,,,B-,,,,,,,A-,A-,B,,,B+,,,A
C,,,,B,,,,,B,C,,B,,,B-,B-,B,,C,C,C,,,C,,,,,,,B-,C+,B,,,B+,,,C
A,,V,,,,,,A,,A,,,,A-,A,A-,A,,B-,V,,,,V,,,,,A,,,,,B+,,A-,,,B+
A,,A-,,,,A,,,,B,,,A,,,B+,A,B,A,V,V,,,A,,,,A,,,,,V,,,V,,,A
A-,,,,A-,,,,,A,B+,,A,,,,A-,A-,A-,B-,D,D,,,D,,,,,,,B,C-,C,,,C,,,B
C+,,A,,,,B+,,,,B+,,A,,,B,A-,B-,B,C,C-,D,,,D+,,,,,,,C+,,D+,,,C,,,C
B+,,A,,,,A-,,,,A-,,,,,,,A,,B+,C,C,,,C+,,,,,,,,,,,,,,,B+
A,,B+,,,,A,,,,A,,,,,,,A,,A,A-,A,,,A-,,,,A,,,,,,,,,,,A
A-,,A-,,,,A-,,,,A,,A,,,A-,A,A,,A,A,A-,,,V,,,,,A-,,,,A-,,,A,,,A-
A-,,A-,,,,B+,,,,B,,A,,,A-,B,A-,C+,C+,C-,C,,,D+,,,,,,,B+,B-,B+,,,A-,,,B
A,,,B,,,,A,,,A,,A-,,,,A-,A,B+,A,A-,A-,,,A,,,,,,,A,A-,A,,,A-,,,B+
B+,,B+,,,,B,,,,C,,,,B,B,A,B+,B,B,C-,D+,,,D,,,,,,,B+,C,D+,,,C,,,B+
V,,V,,,,,,A,,A,,,,A,A,A,A,,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
A,,A,,,,A,,,,A,,,,,,,A-,,A-,B+,B,,,A,,,,,,,,,,,,,,,A-
V,,V,,,,,,A,,A,,A,,,A-,A,A,,A,B,A,,,C,,,,A,,,,,B+,,,B+,,,B
V,,B,,,,A-,,,,B,,,B,,B+,B-,A-,,B,C-,C,,,C,,,,,,,C,,C+,,,B+,,,C
A,,V,,,,,,,,A,,,,,,,A,,A,B,B-,,,B,,,,,,,,,,,,,,,A
V,,V,,,,,,,,A-,,B+,,,A,,A-,,A-,A-,A,,,V,,,,,A,,,,,,,,,,A
A,,,,A-,,,,,A-,B+,,,,,B,B+,B,A-,B-,A,B+,,,B+,,,,B+,,,,,A,,,B,,,B+
A,,V,,,,,,,,A-,,,C+,,,,A-,,B+,B+,A-,,,V,,,,,B+,,,,V,,,V,,,A-
V,,V,,,,,,A,,A,,V,,,B,A-,A,,C+,D+,C,,,C,,,,,,,C,,C,,,C,,,C-
B+,,A,,,,B-,,,,B+,,,B+,,B,A,A,,B,B-,C,,,C+,,,,,,,B-,,C+,,,C+,,,C
A-,,A,,,,A,,,,A,,A,,,A,A,A,A,B+,C+,B-,,,C+,,,,,,,A,,B,,,B-,,,A-
A,,A,,,,A,,,,B,,A,,,C,A,B,,A,A,A,,,B,,,,B,,,,,A,,,A,,,B
B+,,A-,,,,B+,,,,B+,,B+,,,A,A-,A,,A,B+,B+,,,V,,,,,B+,,,A,A-,,,B,,,B
A,,A,,,,A,,,,A,,A,,,B+,A-,A-,A-,A-,B+,B,,,B,,,,,,,A,B,A,,,B+,,,A
C,,B,,,,B,,,,B,,B-,,,B,A,B,,B,D,D,,,D,,,,,,,D+,,B-,,,C,,,C
C,,B-,,,,B+,,,,C+,,,,,,,D+,,B,C-,D+,,C-,,,,,,,,,,,,,,,,C+
B,,A,,,,A,,,,C,,A-,,,B,A-,A,,C,C,C,,,D,,,,D,,,,,A-,,,D+,,,C
A,,B+,,,,A-,,,,A,,,,,,,A,,B-,C,C,,,C+,,,,,,,,,,,,,,,A
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,B,B,,,B,,,,,,,A,,B+,,,B+,,,B
A,,B,,,,A-,,,,B,,,,,,,A-,,A-,C-,B-,,,B+,,,,,,,,,,,,,,,B-
V,,B,,,,A-,,,,A-,,A,,,A,A-,A-,A-,A-,B,B-,,,B,,,,C,,,,,A,,,A,,,A-
A,,A-,,,,A,,,,A,,A-,,,A-,A,A,A,B+,A-,A,,,B+,,,,,,,A,A-,B+,,,B+,,,A
V,,V,,,,,,B,,B,,,B,,A,A-,A,,B,B,B,,,,,C,V,,,B,,,B,,,A-,,,B
A-,,,A-,,,,A-,,,A,,A,,,,A,A,A-,A,A,B+,,,A,,,,A,,,,,B+,,,A,,,A
V,,B+,,,,A-,,,,B+,,B,,,B-,A,A,,A-,V,,,,V,,,,,C+,,,,,A,,A-,,,B
B,,B,,,,B,,,,B,,A-,,,B+,A,A,,B,C,C,,,D,,,,,,,C,,C,,,D+,,,B
C,,B,,,,B,,,,D,,,,,,C,C+,B,B,B,C+,,,,,B-,V,,,B,,,C+,,,B-,,,B
A,,,A,,,,A,,,B,,A,,,,W,A,,A,V,,,,V,,,,,A,,,,,A,,,A,,A
A,,A,,,,B,,,,A,,,,B+,B,B+,A,,B,B,C,,B,B,,,,,,,C+,C,C-,,,C-,,,B
V,,A-,,,,A-,,,,A,,A,,,V,,A,,A,A-,A,,,A,,,,B+,,,,,,,,,,,A
V,,A,,,,A,,,,A,,A,,,B,A,A,B+,A,B+,B-,,,B-,,,,,,,A,B-,B+,,,A-,,,A
A,,A,,,,A,,,,A,,A,,,,A,A,A-,A-,B+,B+,,,A,,,,,,,A,,A-,,,B+,,,A
C,,A,,,,A,,,,B,,B,,,B+,B-,B-,C-,C,D+,D,,,C,,,,,,,D,,D,,,C+,,,D
B+,,C+,,,,B,,,,D,,,,,,,C-,A,C+,C-,C-,,,D+,,,,,,,,,,,,,,,A-
B+,,,A,,,,A,,,A-,,A-,,,A,A,A,A-,B-,A,B+,,,V,,,,,A,,,,A,,,A,,,A-
A,,A,,,,A,,,,A,,,A-,,B+,A-,A,B+,A-,B-,C+,,,B,,,,,,,B+,,C-,,,C,,,B
V,,V,,,,,,A-,,A,,A,,,,A,A,B+,B-,C+,B-,,,C,,,,,,,B+,,B-,,,C+,,,A-
A,,V,,,,,,A,,A,,,A-,,A,A,A,,B,D,C,,,C,,,,B,,,,,B+,,,,,,B
,C,,,,B+,,,,B,,B-,,A-,,B,B,C,A-,B+,C,B-,,,B-,,,,,,,A,,A,,,A,,,C
A,,V,,,,,,A,,A,,,,A,A-,A,A,,A,V,,,,B,,,,A,,,,,A,,,A-,,,B
B+,,,,B+,,,,,,F,,,,,,,B-,,B,D,D,,,C+,,,,,,,,,,,,,,,C-
A,,V,,,,,,A,,A,,,,A,A,A,A,,A,A,A,,,V,,,,V,,,,,A,,,A,,,A
A,,A-,,,,B+,,,,A-,,,,,,A,A,A-,B+,B+,B-,,,B-,,,,C-,,,,,B,,,C+,,,B+
A-,,A-,,,,A-,,,,B-,,,,,,,A-,,B+,C+,C,,,C+,,,,,,,,,,,,,,,C+
,,C-,,,,D,,,,RF;C,,,,,,,B+,,RF;C,RF;D+,D,,,D+,,,,,,,,,,,,,,,C
C,,B,,,,B,,,,A,,A,,,B+,B+,A,,B,B,C,,,,,B,V,,,B,,,B-,,,C,,,B
,,B-,,,,,,,,D+,,,,,,,,,,D+,,,,,,,,,,,,,,,,,,,B-
V,,V,,,,,,A,,A,,,,A,A,A,A,A,A,V,,,,A,,,,A,,,,,,A,,A,,,A-
B,,,,B-,,,,,C+,B-,,A,,,,A-,C+,B,C+,C,D,,,D,,,,,,,C,,C+,,,C,,,C
B,,A,,,,B+,,,,B+,,,B,,B,B+,B,,A,B,B-,,,B,,,,,,,A-,,B,,,B+,,,B
A-,,A,,,,B+,,,,B+,,,A-,,A,A-,B,C+,C+,B,B-,,,B-,,,,,,,A-,C+,C+,,,B-,,,C+
A,,B+,,,,A-,,,,A-,,A,,,,A,B+,A-,B,B,B-,,,B-,,,,,,,A-,,C,,,B,,,B
A,,V,,,,,,,,B+,,A,,,,,A-,,B,B,B-,,,A,,,,B,,,,,,,,,,,A-
A,,B+,,,,A-,,,,B+,,B+,,,,A,A,A-,B+,B-,B+,,,A,,,,A,,,,,A-,,,A-,,,B+
C+,,B+,,,,A,,,,B,,,B-,,,B+,C+,B-,C,C-,D+,,C+,B-,,,,C-,,,,,C+,,,C+,,,B
A,,A,,,,A,,,,A,,A,,,,A,A-,A,B+,B+,B,,,A-,,,,A-,,,,,A,,,A,,,A
A-,,A-,,,,B+,,,,C-,,B,,,B,A-,A,,B-,C-,D+,,,C,,,,,,,B+,B,C,,,C-,,,C
B,,B,,,,A,,,,B,,,C+,,A,B,B,,B,C,C,,,B,,,,C,,,,,C,,,C+,,,C
B,,A,,,,A,,,,B,,,B,,B,A,A,,B,B,B,,,B,,,,B,,,,,,,,,,,B
B+,,B+,,,,A,,,,B,,,A-,,A-,A-,A-,B+,B-,B+,B-,,,C+,,,,,,,B+,C,B-,,,B,,,B-
A,,B-,,,,A-,,,,A-,,,,,,,A-,,C+,C,C-,,,C,,,,,,,,,,,,,,,A
C+,,C+,,,,C,,,,C-,,,C+,,A-,A-,B,,C,C+,D,,,C,,,,B-,,,,,B,,,C+,,,B
A,,B,,,,A,,,,A,,,,A,V,A,A,,A,C,B,,,,,D,V,,,D,,,B-,,,C,,,B
A,,V,,,,,,B,,C+,,,,A-,A,A,A,A-,B+,C+,C+,,,C,,,,,,,A-,,C,,,B+,,,B
A-,,A,,,,A,,,,B,,,,,,,A,,A-,C-,D+,,,C,,,,,,,,,,,,,,,A-
B-,,,B,,,,,,,,,,,,,,A-,,A,A-,,,,V,,,,,C+,,,,,,,,,,
B+,,B-,,,,A-,,,,A,,,,B+,B+,A-,A-,,A-,B+,A-,,,C,,,,C,,,,,B-,,,C+,,,B+
V,,V,,,,,,,,A,,A,,,A,,A,,A-,C+,C-,,,B-,,,,C,,,,,,,,,,,B+
B+,,A,,,,A,,,,A-,,A,,,A,A,A,A,A-,B+,B+,,,A,,,,,,,A,A,A-,,,A-,,,A
B-,,C-,,,,C+,,,,C,,A,,,B,B-,C+,,B-,B,C,,,D+,,,,B+,,,,,A,,,D,,,B
B+,,A-,,,,A-,,,,B,,A,,,A,B+,A-,,B,C,D+,,,C,,,,,,,B-,,D,,,C,,,B-
C,,B,,,,B-,,,,A,,,C,,B,B,A,,B,C-,D+,,,B+,,,,,,,B-,,C,,,C,,,C-
B-,,B+,,,,B+,,,,B+,,C,,,C,B-,B,B+,B+,B,C+,,,B-,,,,,,,A-,C,B-,,,C+,,,C+
A-,,A,,,,A,,,,A,,,,A,A-,A-,B,B-,C,C,C+,,,C,,,,,,,B-,,C,,,C,,,C+
A-,,,A-,,,,A,,,A,,A,,,,A,B+,A,B+,B+,B-,,,C+,,,,B,,,,,A-,,,A-,,,A
A,,,,A-,,,,,,B+,,,,,,,A-,A,A-,A,B,,,A,,,,,,,,,,,,,,,A
B,,V,,,,,,A,,B+,,B,,,A,A,A,,B-,B-,C,,,A,,,,,,,A,,B-,,,B,,,B-
A-,,A-,,,,A-,,,,A-,,A,,,,A-,A,A,B,B-,B-,,,C+,,,,C+,,,,,B,,,C+,,,B
B+,,A-,,,,A,,,,A-,,A,,,A-,A,A,,A,B,B+,,,C+,,,,A-,,,,,V,,,A,,,B+
A-,,B,,,,A-,,,,A-,,,,,,,A-,,B+,B-,C+,,,B,,,,B-,,,,,,,,,,,B
A,,V,,,,,,A,,A-,,A,,,A,A,A,A,A,A,A,,,V,,,,,A,,,,A,,,A,,,A
C,,C,,,,A,,,,B,,A-,,,C-,B-,B,,C,D,D,,B,B,,,,,,,C,,D+,,,D+,,,B
A-,,B+,,,,A,,,,B,,,,B+,A-,A-,A,,A,A,A-,,,A,,,,,,,B+,,C+,,,B,,,A-
A-,,,A-,,,,B+,,,B+,,,B+,,A,B,A,,B-,C,C,,,D,,,,D+,,,,,B-,,,C+,,,B
D,,C+,,,,B+,,,,A,,,B-,,C+,B,RF;B+,,C+,B-,D+,,,RF;C,,,,D,,,,,C+,,,C,,,B
A,,,A,,,,A,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
V,,V,,,,,,A,,A-,,,,,,,,,,V,,,,V,,,,,A-,,,,,,,,,,A-
B,,B+,,,,A,,,,B,,,,A,,A,B+,B+,B,B-,B,,,B,,,,B,,,,,B+,,,B,,,B
C,,RF,,B,,,,,C,C,,C,,,,C,A,,RF;C,C,D,,,RD;C,,,,,,,F,,F,,,,,,C
A-,,B+,,,,B+,,,,B+,,A,,,,B,B,B,C,C-,D,,C,B-,,,,,,,C,,C,,,C,,,B
B,,B,,,,B,,,,C,,,,,B+,C,B,,D,D,D,,D,C,,,,,,,D+,,C+,,,D,,,C
A,,A-,,,,A,,,,A,,,,,,,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
A-,,A-,,,,A,,,,A,,,,,,,A-,,A-,B+,A-,,,A,,,,B,,,,,,,,,,,A-
A,,A,,,,A,,,,A,,,A-,,A,A,A,,A,A,A,,,A,,,,,,,A,B,A-,,,B-,,,A
V,,A-,,,,A-,,,,A,,,,B+,A,A,A,,A,A-,A,,,V,,,,,A,,,,,A,,A,,,A
A-,,B+,,,,A,,,,A-,,,,,,,A,,A-,A-,B,,,B,,,,,,,,,,,,,,,B+
C+,,B-,,,,B+,,,,C-,,,,,,,B,B+,B-,D,C,,,C-,,,,,,,,,,,,,,,C-
B-,,B,,,,B,,,,B+,,B+,,,A-,A-,A,A-,A,C+,B,,,C+,,,,,,,A,,C+,,,B,,,B
A,,B+,,,,A,,,,A,,,,,,,A,,A,B,A-,,,A,,,,A,,,,,,,,,,,A
B,,,,B+,,,,,A-,B-,,,,,,B+,B,B-,B-,C,B,,B-,A,,,,C-,,,,,C+,,,C+,,,C+
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
A,,B+,,,,B+,,,,A,,B+,,,B-,A,B+,B,C+,B-,C+,,,A,,,,,,,A,B+,A,,,B+,,,A
C+,,C+,,,,C,,,,B,,B,,,A,C+,C,,C,RF;C-,C-,,D,C,,,,RF;RF,,,C+,,D+,,,C-,,,C
B,,C,,,,A,,,,A,,A,,,B-,B+,B,,B,D,D,,,C,,,,,,,A-,,B,,,C,,,B
A,,A,,,,A-,,,,B,,A-,,,A,A,B,,B,B,B-,,,B,,,,,,,A,B-,B-,,,B,,,A-
B,,A,,,,B-,,,,A,,A,,,A-,B,A,,C,C+,C,,,C-,,,,,,,C,,C,,,C,,,C+
A-,,,,B,,,,,B+,C+,,A,,,B-,A-,A,B+,A-,C+,B,,,A,,,,,,,A,C+,C+,,,C+,,,C
A-,,V,,,,,,B,,B-,,,,,A,,A-,,C+,B,B,,,B-,,,,,,,,,,,,,,,B+
A,,A,,,,A,,,,A,,,,,,,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
