FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A,,,A,,,,A-,,,A,,,,,A,A,A,A,A,A,A,,,B,,,,B+,,,,,A,,,A,,,A
A,,A,,,,A-,,,,A-,,A,,,A-,A,A-,B+,B,B+,B,,,C,,,,B+,,,,,B+,,,A-,,,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,,,,,,,
C-,,,,B,,,,,B-,C,,B,,,B+,D,C+,C+,A,D,C,,,D,,,,,,,C,,C-,,,RF,,C+,B-
A,,V,,,,,,A,,A,,A,,,V,B+,A-,,B+,V,,,,A,,,,B,,,,,V,,,A,,,A
A,,A,,,,B+,,,,A-,,,,,,,A,,B-,C,C-,,,A-,,,,,,,,,,,,,,,B
A,,V,,,,,,,,A,,A,,,,,A-,,A-,A-,A,,,V,,,,,B+,,,,,,,,,,A
B,,A,,,,A,,,,B,,,,B,B+,A-,A,,B,A,B,,,B,,,,B,,,,,V,,,A-,,,A
B,,B,,,,C,,,,C,,A-,,,A-,B+,A,,B,B,B,,,B,,,,C,,,,,A,,,A-,,,C
A-,,A,,,,A-,,,,A,,A,,,A,A-,A,,A-,D,B-,,,C,,,,,,,C+,,C+,,,C-,,,B+
A,,A,,,,A,,,,B,,,,B,A,B+,A,,A-,B-,C,,,C+,,,,,,,C+,,B+,,,B,,,B-
A,,A,,,,B+,,,,B,,A,,,A-,B+,A-,B-,B,B,B-,,,B,,,,,,,B+,C,B,,,B-,,,B
A,,A,,,,A,,,,B,,A-,,,V,B+,A,,A,A,B,,,V,,,,,C,,,,A-,,,C,,,B
A,,B,,,,A,,,,B,,A,,,A,B+,A,,B,C,B,,,B,,,,,,,A,,C,,,A-,,,B
V,,A,,,,B+,,,,B,,,A,,A,A-,A,A,B+,A,A,,,B+,,,,,,,A,C+,A-,,,B+,,,A
V,,V,,,,,,,,B+,,,A,,,,A-,,B,B+,B,,,A-,,,,B+,,,,,V,,,A-,,,A
V,,A-,,,,B+,,,,B-,,B+,,,A-,B-,B-,,B,B,B,,,V,,,,,B-,,,,A-,,,B,,,B
C,,A-,,,,B-,,,,C-,,,,,,,B,,C+,RF;D,,,D+,,,,,,,,,,,,,,,,C+
B,,B,,,,A-,,,,A,,B+,,,A-,B+,A,A,A,A-,B,,,B,,,,,,,A,,B,,,A-,,,B
A,,A-,,,,,B+,,,A,,A,,,A,A-,A,A-,B,B-,B-,,,C+,,,,,,,A-,C+,A-,,,B,,,B+
D,,B,,,,B-,,,,B,,,B,,,A-,C,B,C,B-,D,,,C-,,,,,,,C+,,C,,,B-,,,C
A,,A,,,,A,,,,A,,A,,,A,A,A,A,A,A,A,,,B+,,,,A,,,,,A,,,A,,,A
V,,B+,,,,B,,,,B,,A-,,,B,B+,A-,B+,B+,C,C+,,,C-,,,,,,,B,,C+,,,C-,,,B
A,,A-,,,,A,,,,A-,,,A-,,B,A,A,,A-,B,B,,,A-,,,,B,,,,A-,A,,,B+,,,B
A,,B+,,,,A-,,,,A-,,B+,,,,A,B+,A,B,B,A-,,,B,,,,B,,,,,A,,,A-,,,A
B,,,B+,,,,A,,,A,,,,B+,A-,A,A,B,B-,C-,B-,,,,,C-,V,,,C,,,B-,,,C+,,,B
B,,B+,,,,C,,,,B-,,,,,,,A,,B,B-,D,,,B,,,,,,,,,,,,,,,B
B+,,B+,,,,A-,,,,A-,,,,C,,C,A-,B-,C+,C,C,,,C,,,,RF;C,,,,,C+,,,C,,,B-
V,,,A,,,,A,,,A,,A,,,A-,A,A-,A,B+,A,A,,,V,,,,,A,,,A,A,,,A,,,A
A,,V,,,,,,,,B+,,,,,A,,A,,B-,A-,B+,,,V,,,,,B-,,,,,,,,,,A
B,,A-,,,,A,,,,B,,,,,,,A,,C,C,D,,,D,,,,,,,,,,,,,,,B-
V,,B+,,,,B,,,,B+,,,,A-,A,A,A-,B,B,C,C,,,C+,,,,,,,C,,B-,,,C,,,B+
V,,A,,,,A-,,,,A,,A-,,,,,A-,,B,A-,B+,,,V,,,,,B+,,,,,,,,,,A
V,,V,,,,,,A-,,B,,,A-,,V,A,A,A,A,A,A-,,,V,,,,,A,,,,A,,,A,,,A
B,,,,B-,,,,,A,C,,B+,,,B,B,C+,C,C,C-,C,,,D+,,,,,,,C+,,C-,,,B,,,C
B+,,,,B+,,,,,,A,,,,,,,A-,,A-,A-,B,,,V,,,,,B-,,,,,,,,,,A
B,,B,,,,B+,,,,D+,,A,,,,B,B,B+,B+,D,C+,,,C+,,,,,,,A,A,A,,,B,,,B
V,,A,,,,A,,,,A,,,V,,A-,A,A-,A,B+,A,B+,,,A,,,,,,,A,A-,A,,,B+,,,A
B-,,B,,,,B-,,,,B,,B,,,B+,B,A-,,C,C-,D+,,,D,,,,,,,C+,C,B-,,,D,,,D+
B-,,B,,,,A-,,,,A-,,,B+,,B-,B+,A,,B-,D,D,,,D+,,,,D,,,,,C-,,,C,,,B-
A,,B+,,,,A-,,,,B+,,,,,,,B+,,B-,C+,C+,,,B+,,,,,,,,,,,,,,,B+
A,,A,,,,A,,,,A,,A,,,A,A-,A,,A,A,A,,,A,,,,B,,,,,A,,,B,,,A
A-,,V,,,,,,A-,,C+,,B+,,,A-,A,A,B+,C+,C-,C-,,,C+,,,,C-,,,,,B+,,,B-,,,A
V,,A,,,,B+,,,,B,,,,,,,B-,,A-,C+,C+,,,B-,,,,D+,,,,,,,,,,,B+
W,,W,,,,,,,,,,,,,,,W,,W,W,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,
B-,,C+,,,,B-,,,,B-,,A-,,,B,A-,B,C+,C,D,D,,,D,,,,,,,B+,,C+,,,D,,,C+
V,,V,,,,,,A,,A,,,A-,,A,A,A,,A,V,,,,V,,,,,A,,,,V,,,,,,A
B+,,A-,,,,B,,,,C,,A,,,A,A-,B-,B,C,V,,,,C,,,,,,,B+,D+,V,,,B-,,,B-
A-,,A,,,,A,,,,A,,A-,,,A,A,B-,A-,B+,A,B+,,,V,,,,,A-,,,,V,,,A,,,B+
V,,,B,,,,A-,,,B+,,,,B+,A,B,A-,,B,B-,C,,A-,C+,,,,,,,C,,D+,,,C+,,,B-
B,,B,,,,A-,,,,C,,B+,,,B-,B,A,B,C+,C-,C,,,C+,,,,C,,,,,D,,,D,,,B-
